date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:51:58	125363/125363	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Sep%202019%2016:51:57%20GMT	https://homesociete.ca/terms-of-use/	C:/My%20Web%20Sites/homesociete/homesociete.ca/terms-of-use/index.html	(from https://homesociete.ca/)
19:51:59	121737/121737	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Sep%202019%2016:51:57%20GMT	https://homesociete.ca/privacy-policy/	C:/My%20Web%20Sites/homesociete/homesociete.ca/privacy-policy/index.html	(from https://homesociete.ca/)
19:52:00	86927/86927	---MC-	200	added ('OK')	text/javascript	date:Thu,%2025%20Jan%202018%2015:33:24%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/My%20Web%20Sites/homesociete/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://homesociete.ca/)
19:52:01	86389/86389	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215175-584f0ddea5e17-gzip%22	https://homesociete.ca/themes/homesociete/dist/scripts/jquery.min.js	C:/My%20Web%20Sites/homesociete/homesociete.ca/themes/homesociete/dist/scripts/jquery.min.js	(from https://homesociete.ca/)
19:52:02	130738/130738	---M-Z	200	added ('OK')	application/x-javascript	etag:%221feb2-58cb2b28b7e51-gzip%22	https://homesociete.ca/themes/homesociete/dist/scripts/app.js	C:/My%20Web%20Sites/homesociete/homesociete.ca/themes/homesociete/dist/scripts/app.js	(from https://homesociete.ca/)
19:52:02	490326/490326	---MCZ	200	added ('OK')	application/x-javascript	etag:%2277b56-58cb2b28ba561-gzip%22	https://homesociete.ca/themes/homesociete/dist/scripts/vendors.js	C:/My%20Web%20Sites/homesociete/homesociete.ca/themes/homesociete/dist/scripts/vendors.js	(from https://homesociete.ca/)
19:52:03	38036/38036	---M--	200	added ('OK')	text/html	etag:%229494-584f0ddea3aef%22	https://homesociete.ca/themes/homesociete/dist/fonts/hinted-NHaasGroteskDSPro-55Rg.woff2	C:/My%20Web%20Sites/homesociete/homesociete.ca/themes/homesociete/dist/fonts/hinted-NHaasGroteskDSPro-55Rg.html	(from https://homesociete.ca/themes/homesociete/dist/styles/main.css)
19:52:05	53724/53724	---MCZ	200	added ('OK')	application/font-woff	etag:W/%22d1dc-584f0ddea3aef%22	https://homesociete.ca/themes/homesociete/dist/fonts/hinted-NHaasGroteskDSPro-55Rg.woff	C:/My%20Web%20Sites/homesociete/homesociete.ca/themes/homesociete/dist/fonts/hinted-NHaasGroteskDSPro-55Rg.woff	(from https://homesociete.ca/themes/homesociete/dist/styles/main.css)
19:52:05	59828/59828	---M--	200	added ('OK')	text/html	etag:%22e9b4-584f0ddea331f%22	https://homesociete.ca/themes/homesociete/dist/fonts/hinted-GTSuperDisplay-Light.woff2	C:/My%20Web%20Sites/homesociete/homesociete.ca/themes/homesociete/dist/fonts/hinted-GTSuperDisplay-Light.html	(from https://homesociete.ca/themes/homesociete/dist/styles/main.css)
19:52:06	9306/9306	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Sep%202019%2016:52:06%20GMT	https://homesociete.ca/POST	C:/My%20Web%20Sites/homesociete/homesociete.ca/POST	(from https://connect.facebook.net/en_US/fbevents.js)
